package,kind,V1_typosquatting,V2_install_execution,V3_obfuscation,V4_command_execution,V5_insecure_deserialization,V6_encoding,V7_network_exfiltration
defi-risk-scanner,archive,0,0,0,1,0,0,1
smtrlib,archive,0,0,0,1,0,0,1
testingbrooasqa,dir,0,0,0,1,0,0,0
ctf-q21-empire-tmp-test123,archive,0,1,0,1,0,0,1
ulrlib3,dir,1,1,0,0,0,0,1
monlith,dir,0,1,0,0,0,0,1
requetsts,archive,1,1,0,1,0,0,1
selfultravirtualpy,archive,0,0,0,1,0,0,0
kimportsetup,archive,0,0,0,1,0,0,1
xsetuptools,archive,1,0,0,1,0,1,1
tpproofgameed,dir,0,0,0,1,0,0,0
libcccvpull,archive,0,0,0,1,0,0,0
colorayma,archive,1,1,0,1,0,0,1
hexdeci,archive,0,0,0,0,0,0,1
py-guiminepep,archive,1,0,0,1,0,0,0
multiconnection,archive,0,0,0,1,0,0,1
tphydramask,archive,0,0,0,1,0,0,0
ip-rotat,archive,0,1,0,1,0,0,1
pyktrkatoo,archive,0,1,0,1,0,0,0
hydrahttp,archive,0,0,0,1,0,0,0
pilloo,archive,1,1,0,1,0,0,1
py-loadcpu,archive,1,0,0,1,0,0,0
typing-extension,dir,1,1,0,0,0,1,1
toolhydra,archive,0,0,0,1,0,0,0
selfmaskgamepull,dir,0,0,0,1,0,0,0
py-ultraproofintel,archive,1,0,0,1,0,0,0
voto3,dir,1,1,0,0,0,0,1
tpverloadgui,archive,0,0,0,1,0,0,0
sintaxisoyyo,dir,0,0,0,1,0,1,1
tposintcraftram,archive,0,0,0,1,0,0,0
pygments-richstyle,archive,0,0,0,1,0,0,1
ppython-binance,archive,0,0,0,0,0,0,0
zorosnitro,dir,0,0,0,1,0,1,1
ethereium,archive,0,1,0,1,0,0,1
namedpkg,archive,0,0,0,1,0,1,1
dider,dir,1,0,0,1,0,1,1
wxpayproto,archive,0,0,0,0,0,1,1
papara,archive,0,0,0,1,0,1,1
intmc,archive,0,0,0,1,0,0,0
prgoressbar2,archive,1,0,0,0,0,0,0
pinkhippodirty,archive,0,1,0,1,0,0,1
iconnect,archive,0,0,0,1,0,0,1
cryptoccompare,archive,0,0,0,0,0,0,0
aiohttp-socks-connector,archive,0,0,0,1,0,1,1
antchain-sdk-commercialexternal,archive,0,1,0,0,0,0,1
candypost,archive,0,0,0,1,0,0,0
moooo,archive,1,0,0,1,0,1,1
artifact-lab-3-package-7e532784,archive,0,0,0,0,0,0,1
py-infointelpost,archive,1,0,0,1,0,0,0
libproofproofproof,archive,0,0,0,1,0,0,0
stripe-client-py,archive,1,0,0,1,0,0,0
esqtoolcvsplit,archive,0,0,0,1,0,0,0
puffioner131,archive,0,1,0,1,0,0,1
ixosmonitoring,dir,0,1,0,0,0,0,1
pycord-slash,archive,0,0,0,1,1,0,1
quasarlib,dir,0,1,1,1,0,0,1
esqgameloadrandom,dir,0,0,0,1,0,0,0
pycolorz,dir,0,0,0,1,0,0,0
synapse-sso-proconnect,dir,0,0,0,0,0,0,1
polymarkets-sdk,archive,1,0,0,0,0,1,1
ccxt-bullish,archive,0,0,0,0,0,0,0
selfpostramstring,archive,0,0,0,1,0,0,0
visavisa,archive,0,0,0,1,0,0,0
pipsuper,archive,0,0,0,1,0,0,0
semdb,archive,1,0,0,1,0,1,0
mlc-llm.py,dir,1,0,0,0,0,0,1
esqverlibosint,archive,0,0,0,1,0,0,0
hydraproof,archive,0,0,0,1,0,0,0
beautifulsoupp,archive,1,0,0,0,0,0,0
toolgrand,archive,0,0,0,1,0,0,0
aidoc-e2e-utils,archive,1,1,0,1,0,0,1
ethrum,archive,0,1,0,1,0,0,1
forgepy,archive,0,0,0,1,1,1,0
rippling-cli,archive,1,0,0,0,0,0,1
selfgetrepush,archive,0,0,0,1,0,0,0
requests-core-plugin,archive,0,1,0,1,0,0,1
tkcalenndar,archive,0,0,0,0,0,0,0
mcvm,archive,1,0,0,1,0,0,0
selfpullvisaed,archive,0,0,0,1,0,0,0
discord-webook,archive,1,0,0,0,0,0,0
example-package-sthnck,dir,0,0,0,0,0,0,0
pyaudio,archive,0,0,0,0,0,0,1
jsonconfig-utils,archive,1,0,0,1,0,1,1
